hero_id,hero,item_key,item,rank,timing,games,wr,ci95,baseline_wr,baseline_games,baseline_ci95,delta,avg_gpm,baseline_avg_gpm,avg_early_gpm,baseline_avg_early_gpm,avg_net_worth,baseline_avg_net_worth,status,farm_bias
25,Lina,bottle,Bottle,all,all,139,0.539568345323741,0.08286182412723522,0.4831164460399372,17828,0.007335454483172115,0.056451899283803786,615.705035971223,576.9920910926633,404.9323741007194,387.42331288343547,21337.805755395682,21507.912104554634,unclear,low
25,Lina,travel_boots,Boots of Travel,all,all,144,0.5486111111111112,0.08127978706388748,0.4831164460399372,17828,0.007335454483172115,0.06549466507117396,617.6180555555555,576.9920910926633,402.51666666666665,387.42331288343547,21587.48611111111,21507.912104554634,unclear,low
25,Lina,kaya,Kaya,all,all,124,0.5403225806451613,0.08771994946277503,0.4831164460399372,17828,0.007335454483172115,0.05720613460522406,612.5483870967741,576.9920910926633,403.0846774193548,387.42331288343547,21063.427419354837,21507.912104554634,unclear,low
25,Lina,ultimate_scepter,Aghanim's Scepter,all,all,108,0.5925925925925926,0.09266948796061346,0.4831164460399372,17828,0.007335454483172115,0.10947614655265536,635.3981481481482,576.9920910926633,406.8342592592594,387.42331288343547,22615.972222222223,21507.912104554634,signal,medium
25,Lina,yasha,Yasha,all,all,105,0.6190476190476191,0.09288782561858226,0.4831164460399372,17828,0.007335454483172115,0.13593117300768187,638.9047619047619,576.9920910926633,408.1095238095238,387.42331288343547,22479.24761904762,21507.912104554634,signal,medium
25,Lina,yasha_and_kaya,Yasha and Kaya,all,all,104,0.6153846153846154,0.09350310761340329,0.4831164460399372,17828,0.007335454483172115,0.13226816934467822,641.0769230769231,576.9920910926633,409.7519230769231,387.42331288343547,22573.615384615383,21507.912104554634,signal,medium
11,Shadow Fiend,yasha,Yasha,all,all,103,0.4854368932038835,0.09652130192974713,0.48311639313337107,15903,0.007766740740019407,0.0023205000705124323,644.0097087378641,610.6459158649311,424.30388349514567,418.2503355704698,22097.466019417476,22316.16845878136,unclear,low
11,Shadow Fiend,power_treads,Power Treads,all,all,107,0.4766355140186916,0.0946366822249982,0.48311639313337107,15903,0.007766740740019407,-0.006480879114679483,651.2523364485982,610.6459158649311,426.28224299065437,418.2503355704698,21477.30841121495,22316.16845878136,unclear,low
14,Pudge,blink,Blink Dagger,all,all,171,0.5906432748538012,0.07370069998533171,0.5079964638752712,24886,0.006211449799470928,0.08264681097853,421.7953216374269,398.0692758980953,276.1187134502925,268.0586854460095,13861.33918128655,14024.521980229849,signal,low
67,Spectre,power_treads,Power Treads,all,all,107,0.5420560747663551,0.09440444461793733,0.5358369768894441,12808,0.008637081584868455,0.006219097876910995,592.9158878504672,592.8969394128669,344.42149532710283,339.35855855855857,21159.915887850468,23174.820658963148,unclear,low
67,Spectre,yasha,Yasha,all,all,100,0.58,0.09673746740534404,0.5358369768894441,12808,0.008637081584868455,0.044163023110555866,607.23,592.8969394128669,346.38900000000007,339.35855855855857,21954.9,23174.820658963148,unclear,low
128,Snapfire,aghanims_shard,Aghanim's Shard,all,all,111,0.4954954954954955,0.0930137087533319,0.4913330742324135,12865,0.008638849856793456,0.004162421263081972,441.1801801801802,452.64127477652545,257.36126126126123,254.82419354838706,14698.918918918918,16516.343023707734,unclear,low
135,Dawnbreaker,soul_ring,Soul Ring,all,all,103,0.49514563106796117,0.0965577181928537,0.5304018015882422,8437,0.010649464082101413,-0.03525617052028107,524.2038834951456,519.9028090553514,345.1854368932039,337.80869565217404,16892.339805825242,18857.989214175654,unclear,low
