hero_id,hero,item_key,item,rank,timing,games,wr,ci95,baseline_wr,baseline_games,baseline_ci95,delta,status
25,Lina,yasha,Yasha,all,all,105,0.6190476190476191,0.09288782561858226,0.4831164460399372,17828,0.007335454483172115,0.13593117300768187,signal
25,Lina,yasha_and_kaya,Yasha and Kaya,all,all,104,0.6153846153846154,0.09350310761340329,0.4831164460399372,17828,0.007335454483172115,0.13226816934467822,signal
8,Juggernaut,quelling_blade,Quelling Blade,all,all,106,0.4056603773584906,0.09347635644761126,0.5209027258514037,14711,0.00807281757429704,-0.11524234849291315,signal
25,Lina,ultimate_scepter,Aghanim's Scepter,all,all,108,0.5925925925925926,0.09266948796061346,0.4831164460399372,17828,0.007335454483172115,0.10947614655265536,signal
86,Rubick,blink,Blink Dagger,all,all,107,0.5981308411214953,0.09289762682907161,0.49718117619132396,16851,0.00754929392693521,0.10094966493017132,signal
14,Pudge,blink,Blink Dagger,all,all,171,0.5906432748538012,0.07370069998533171,0.5079964638752712,24886,0.006211449799470928,0.08264681097853,signal
25,Lina,travel_boots,Boots of Travel,all,all,144,0.5486111111111112,0.08127978706388748,0.4831164460399372,17828,0.007335454483172115,0.06549466507117396,unclear
7,Earthshaker,blink,Blink Dagger,all,all,101,0.44554455445544555,0.09693358635139152,0.5031465166210113,13507,0.008432144222662601,-0.057601962165565734,unclear
25,Lina,kaya,Kaya,all,all,124,0.5403225806451613,0.08771994946277503,0.4831164460399372,17828,0.007335454483172115,0.05720613460522406,unclear
25,Lina,bottle,Bottle,all,all,139,0.539568345323741,0.08286182412723522,0.4831164460399372,17828,0.007335454483172115,0.056451899283803786,unclear
2,Axe,splintmail,Splintmail,all,all,117,0.5470085470085471,0.09019972231208277,0.5007752862595419,16768,0.007568066176513313,0.046233260749005134,unclear
2,Axe,blade_mail,Blade Mail,all,all,117,0.5470085470085471,0.09019972231208277,0.5007752862595419,16768,0.007568066176513313,0.046233260749005134,unclear
67,Spectre,yasha,Yasha,all,all,100,0.58,0.09673746740534404,0.5358369768894441,12808,0.008637081584868455,0.044163023110555866,unclear
135,Dawnbreaker,gauntlets,Gauntlets of Strength,all,all,110,0.4909090909090909,0.09342388795147602,0.5304018015882422,8437,0.010649464082101413,-0.03949271067915133,unclear
26,Lion,blink,Blink Dagger,all,all,171,0.52046783625731,0.07487965508849591,0.48501234778165714,23486,0.006391846675944596,0.03545548847565283,unclear
135,Dawnbreaker,soul_ring,Soul Ring,all,all,103,0.49514563106796117,0.0965577181928537,0.5304018015882422,8437,0.010649464082101413,-0.03525617052028107,unclear
135,Dawnbreaker,ring_of_protection,Ring of Protection,all,all,106,0.5,0.09518601451101188,0.5304018015882422,8437,0.010649464082101413,-0.03040180158824224,unclear
2,Axe,blades_of_attack,Blades of Attack,all,all,119,0.5294117647058824,0.0896808916349818,0.5007752862595419,16768,0.007568066176513313,0.02863647844634043,unclear
48,Luna,gloves,Gloves of Haste,all,all,110,0.4818181818181818,0.09337753523815305,0.505853418593212,10165,0.00971947086194298,-0.024035236775030167,unclear
48,Luna,power_treads,Power Treads,all,all,110,0.4818181818181818,0.09337753523815305,0.505853418593212,10165,0.00971947086194298,-0.024035236775030167,unclear
2,Axe,blink,Blink Dagger,all,all,130,0.5230769230769231,0.08586009091337053,0.5007752862595419,16768,0.007568066176513313,0.022301636817381176,unclear
135,Dawnbreaker,blades_of_attack,Blades of Attack,all,all,110,0.509090909090909,0.09342388795147603,0.5304018015882422,8437,0.010649464082101413,-0.0213108924973332,unclear
2,Axe,phase_boots,Phase Boots,all,all,117,0.5213675213675214,0.09051826264067962,0.5007752862595419,16768,0.007568066176513313,0.020592235107979473,unclear
48,Luna,yasha,Yasha,all,all,107,0.48598130841121495,0.09470293122311867,0.505853418593212,10165,0.00971947086194298,-0.019872110181997027,unclear
12,Phantom Lancer,gloves,Gloves of Haste,all,all,100,0.55,0.09750876883644875,0.5309037633916308,10921,0.009359739123109011,0.019096236608369233,unclear
12,Phantom Lancer,power_treads,Power Treads,all,all,100,0.55,0.09750876883644875,0.5309037633916308,10921,0.009359739123109011,0.019096236608369233,unclear
135,Dawnbreaker,phase_boots,Phase Boots,all,all,109,0.5137614678899083,0.09383141653616697,0.5304018015882422,8437,0.010649464082101413,-0.016640333698333953,unclear
14,Pudge,wind_lace,Wind Lace,all,all,140,0.5214285714285715,0.08274901812106292,0.5079964638752712,24886,0.006211449799470928,0.013432107553300265,unclear
26,Lion,tranquil_boots,Tranquil Boots,all,all,161,0.4720496894409938,0.07711405064004159,0.48501234778165714,23486,0.006391846675944596,-0.012962658340663347,unclear
14,Pudge,tranquil_boots,Tranquil Boots,all,all,121,0.49586776859504134,0.08908786652447238,0.5079964638752712,24886,0.006211449799470928,-0.012128695280229862,unclear
67,Spectre,quelling_blade,Quelling Blade,all,all,101,0.5247524752475248,0.0973940810400579,0.5358369768894441,12808,0.008637081584868455,-0.01108450164191932,unclear
48,Luna,manta,Manta Style,all,all,103,0.49514563106796117,0.0965577181928537,0.505853418593212,10165,0.00971947086194298,-0.010707787525250811,unclear
48,Luna,lifesteal,Morbid Mask,all,all,109,0.4954128440366973,0.09386302557076281,0.505853418593212,10165,0.00971947086194298,-0.010440574556514703,unclear
36,Necrophos,relic,Sacred Relic,all,all,116,0.49137931034482757,0.0909771905166834,0.4989860665925296,15287,0.007926182175415377,-0.007606756247702018,unclear
11,Shadow Fiend,gloves,Gloves of Haste,all,all,107,0.4766355140186916,0.0946366822249982,0.48311639313337107,15903,0.007766740740019407,-0.006480879114679483,unclear
11,Shadow Fiend,power_treads,Power Treads,all,all,107,0.4766355140186916,0.0946366822249982,0.48311639313337107,15903,0.007766740740019407,-0.006480879114679483,unclear
67,Spectre,power_treads,Power Treads,all,all,107,0.5420560747663551,0.09440444461793733,0.5358369768894441,12808,0.008637081584868455,0.006219097876910995,unclear
48,Luna,mask_of_madness,Mask of Madness,all,all,102,0.5,0.09703445921171408,0.505853418593212,10165,0.00971947086194298,-0.005853418593211979,unclear
128,Snapfire,aghanims_shard,Aghanim's Shard,all,all,111,0.4954954954954955,0.0930137087533319,0.4913330742324135,12865,0.008638849856793456,0.004162421263081972,unclear
36,Necrophos,radiance,Radiance,all,all,115,0.4956521739130435,0.09138201611496903,0.4989860665925296,15287,0.007926182175415377,-0.0033338926794860835,unclear
36,Necrophos,talisman_of_evasion,Talisman of Evasion,all,all,115,0.4956521739130435,0.09138201611496903,0.4989860665925296,15287,0.007926182175415377,-0.0033338926794860835,unclear
11,Shadow Fiend,yasha,Yasha,all,all,103,0.4854368932038835,0.09652130192974713,0.48311639313337107,15903,0.007766740740019407,0.0023205000705124323,unclear
67,Spectre,gloves,Gloves of Haste,all,all,108,0.5370370370370371,0.09404147604966089,0.5358369768894441,12808,0.008637081584868455,0.0012000601475929962,unclear
36,Necrophos,aghanims_shard,Aghanim's Shard,all,all,122,0.5,0.08872503112166816,0.4989860665925296,15287,0.007926182175415377,0.0010139334074704132,unclear
26,Lion,wind_lace,Wind Lace,all,all,167,0.48502994011976047,0.07580067965723411,0.48501234778165714,23486,0.006391846675944596,1.7592338103333827e-05,unclear
22,Zeus,tiara_of_selemene,Tiara of Selemene,all,all,58,0.7068965517241379,0.11714681084920706,0.49451638010330434,14133,0.008242952098895496,0.21238017162083356,thin
41,Faceless Void,gloves,Gloves of Haste,all,all,51,0.27450980392156865,0.12248014365912835,0.4849376323840904,8498,0.01062601835588396,-0.21042782846252173,thin
41,Faceless Void,power_treads,Power Treads,all,all,51,0.27450980392156865,0.12248014365912835,0.4849376323840904,8498,0.01062601835588396,-0.21042782846252173,thin
67,Spectre,ultimate_orb,Ultimate Orb,all,all,50,0.74,0.12158320936708325,0.5358369768894441,12808,0.008637081584868455,0.2041630231105559,thin
14,Pudge,ultimate_scepter,Aghanim's Scepter,all,all,81,0.7037037037037037,0.09944239873102216,0.5079964638752712,24886,0.006211449799470928,0.19570723982843252,thin
27,Shadow Shaman,aether_lens,Aether Lens,all,all,50,0.72,0.12445614167247834,0.5263562102911401,14323,0.008177204797301095,0.19364378970885987,thin
86,Rubick,ultimate_scepter,Aghanim's Scepter,all,all,50,0.68,0.12930059241936984,0.49718117619132396,16851,0.00754929392693521,0.1828188238086761,thin
42,Wraith King,blink,Blink Dagger,all,all,55,0.7272727272727273,0.1177030352535091,0.5556702805024952,11622,0.00903393376008159,0.17160244677023206,thin
83,Treant Protector,blink,Blink Dagger,all,all,50,0.66,0.13130537231964273,0.4910667367314766,3806,0.01588262772302264,0.16893326326852343,thin
